商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,8000.0,201603W4,C,134027.0,605.0,2.0
TXO,8000.0,201603W4,C,134027.0,605.0,2.0
TXO,8000.0,201603W4,P,84517.0,0.7,1.0
TXO,8000.0,201603W4,P,84517.0,0.7,1.0
TXO,8000.0,201603W4,P,84600.0,0.7,1.0
TXO,8000.0,201603W4,P,84600.0,0.7,1.0
TXO,8000.0,201603W4,P,84710.0,0.7,2.0
TXO,8000.0,201603W4,P,84710.0,0.7,2.0
TXO,8000.0,201603W4,P,84718.0,0.8,3.0
TXO,8000.0,201603W4,P,84718.0,0.8,3.0
TXO,8000.0,201603W4,P,84748.0,0.8,1.0
TXO,8000.0,201603W4,P,84748.0,0.8,1.0
TXO,8000.0,201603W4,P,84947.0,0.9,1.0
TXO,8000.0,201603W4,P,84947.0,0.9,1.0
TXO,8000.0,201603W4,P,85030.0,1.0,1.0
TXO,8000.0,201603W4,P,85030.0,1.0,1.0
TXO,8000.0,201603W4,P,85204.0,0.9,1.0
TXO,8000.0,201603W4,P,85204.0,0.9,1.0
TXO,8000.0,201603W4,P,85238.0,0.9,20.0
TXO,8000.0,201603W4,P,85238.0,0.9,20.0
TXO,8000.0,201603W4,P,85714.0,0.8,1.0
TXO,8000.0,201603W4,P,85714.0,0.8,1.0
TXO,8000.0,201603W4,P,90455.0,1.0,41.0
TXO,8000.0,201603W4,P,90455.0,1.0,1.0
TXO,8000.0,201603W4,P,90455.0,1.0,1.0
TXO,8000.0,201603W4,P,90455.0,1.0,20.0
TXO,8000.0,201603W4,P,90455.0,1.0,10.0
TXO,8000.0,201603W4,P,90455.0,1.0,9.0
TXO,8000.0,201603W4,P,90456.0,1.0,61.0
TXO,8000.0,201603W4,P,90456.0,1.0,1.0
TXO,8000.0,201603W4,P,90456.0,1.0,10.0
TXO,8000.0,201603W4,P,90456.0,1.0,10.0
TXO,8000.0,201603W4,P,90456.0,1.0,10.0
TXO,8000.0,201603W4,P,90456.0,1.0,10.0
TXO,8000.0,201603W4,P,90456.0,1.0,10.0
TXO,8000.0,201603W4,P,90456.0,1.0,10.0
TXO,8000.0,201603W4,P,90502.0,1.1,22.0
TXO,8000.0,201603W4,P,90502.0,1.1,1.0
TXO,8000.0,201603W4,P,90502.0,1.1,1.0
TXO,8000.0,201603W4,P,90502.0,1.1,20.0
TXO,8000.0,201603W4,P,90811.0,1.1,1.0
TXO,8000.0,201603W4,P,90811.0,1.1,1.0
TXO,8000.0,201603W4,P,90827.0,1.1,1.0
TXO,8000.0,201603W4,P,90827.0,1.1,1.0
TXO,8000.0,201603W4,P,90948.0,1.1,1.0
TXO,8000.0,201603W4,P,90948.0,1.1,1.0
TXO,8000.0,201603W4,P,91139.0,1.0,1.0
TXO,8000.0,201603W4,P,91139.0,1.0,1.0
TXO,8000.0,201603W4,P,91155.0,1.1,7.0
TXO,8000.0,201603W4,P,91155.0,1.1,1.0
TXO,8000.0,201603W4,P,91155.0,1.1,5.0
TXO,8000.0,201603W4,P,91155.0,1.1,1.0
TXO,8000.0,201603W4,P,91156.0,1.0,10.0
TXO,8000.0,201603W4,P,91156.0,1.0,10.0
TXO,8000.0,201603W4,P,91355.0,1.2,10.0
TXO,8000.0,201603W4,P,91355.0,1.2,1.0
TXO,8000.0,201603W4,P,91355.0,1.2,1.0
TXO,8000.0,201603W4,P,91355.0,1.2,1.0
TXO,8000.0,201603W4,P,91355.0,1.2,1.0
TXO,8000.0,201603W4,P,91355.0,1.2,1.0
TXO,8000.0,201603W4,P,91355.0,1.2,5.0
TXO,8000.0,201603W4,P,91410.0,1.2,20.0
TXO,8000.0,201603W4,P,91410.0,1.2,10.0
TXO,8000.0,201603W4,P,91410.0,1.2,10.0
TXO,8000.0,201603W4,P,91500.0,1.2,10.0
TXO,8000.0,201603W4,P,91500.0,1.2,10.0
TXO,8000.0,201603W4,P,91512.0,1.3,1.0
TXO,8000.0,201603W4,P,91512.0,1.3,1.0
