商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,7900.0,201604W4,C,84510.0,1020.0,1.0
TXO,7900.0,201604W4,C,84510.0,1020.0,1.0
TXO,7900.0,201604W4,C,84600.0,605.0,1.0
TXO,7900.0,201604W4,C,84600.0,605.0,1.0
TXO,7900.0,201604W4,P,85145.0,0.3,4.0
TXO,7900.0,201604W4,P,85145.0,0.3,4.0
TXO,8000.0,201604W4,C,103043.0,545.0,3.0
TXO,8000.0,201604W4,C,103043.0,545.0,3.0
TXO,8000.0,201604W4,P,101117.0,0.3,1.0
TXO,8000.0,201604W4,P,101117.0,0.3,1.0
TXO,8000.0,201604W4,P,125722.0,0.3,1.0
TXO,8000.0,201604W4,P,125722.0,0.3,1.0
TXO,8000.0,201604W4,P,125920.0,0.1,1.0
TXO,8000.0,201604W4,P,125920.0,0.1,1.0
TXO,8100.0,201604W4,P,93024.0,0.4,2.0
TXO,8100.0,201604W4,P,93024.0,0.4,2.0
TXO,8100.0,201604W4,P,100717.0,0.3,100.0
TXO,8100.0,201604W4,P,100717.0,0.3,100.0
TXO,8100.0,201604W4,P,101637.0,0.3,25.0
TXO,8100.0,201604W4,P,101637.0,0.3,25.0
TXO,8100.0,201604W4,P,101638.0,0.3,25.0
TXO,8100.0,201604W4,P,101638.0,0.3,25.0
TXO,8100.0,201604W4,P,101638.0,0.3,25.0
TXO,8100.0,201604W4,P,101638.0,0.3,25.0
TXO,8100.0,201604W4,P,101639.0,0.3,25.0
TXO,8100.0,201604W4,P,101639.0,0.3,25.0
TXO,8100.0,201604W4,P,102835.0,0.2,10.0
TXO,8100.0,201604W4,P,102835.0,0.2,1.0
TXO,8100.0,201604W4,P,102835.0,0.2,9.0
TXO,8100.0,201604W4,P,103039.0,0.4,40.0
TXO,8100.0,201604W4,P,103039.0,0.4,40.0
TXO,8100.0,201604W4,P,103055.0,0.4,10.0
TXO,8100.0,201604W4,P,103055.0,0.4,10.0
TXO,8100.0,201604W4,P,110217.0,0.4,1.0
TXO,8100.0,201604W4,P,110217.0,0.4,1.0
TXO,8200.0,201604W4,P,84619.0,0.5,1.0
TXO,8200.0,201604W4,P,84619.0,0.5,1.0
TXO,8200.0,201604W4,P,84946.0,0.6,20.0
TXO,8200.0,201604W4,P,84946.0,0.6,20.0
TXO,8200.0,201604W4,P,85210.0,0.6,2.0
TXO,8200.0,201604W4,P,85210.0,0.6,2.0
TXO,8200.0,201604W4,P,85218.0,0.6,1.0
TXO,8200.0,201604W4,P,85218.0,0.6,1.0
TXO,8200.0,201604W4,P,85301.0,0.6,1.0
TXO,8200.0,201604W4,P,85301.0,0.6,1.0
TXO,8200.0,201604W4,P,85333.0,0.6,3.0
TXO,8200.0,201604W4,P,85333.0,0.6,3.0
TXO,8200.0,201604W4,P,85358.0,0.6,24.0
TXO,8200.0,201604W4,P,85358.0,0.6,24.0
TXO,8200.0,201604W4,P,85717.0,0.6,3.0
TXO,8200.0,201604W4,P,85717.0,0.6,3.0
TXO,8200.0,201604W4,P,85723.0,0.6,3.0
TXO,8200.0,201604W4,P,85723.0,0.6,3.0
TXO,8200.0,201604W4,P,85728.0,0.6,3.0
