商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,8100.0,201606W2,P,120408.0,0.6,1.0
TXO,8100.0,201606W2,P,120408.0,0.6,1.0
TXO,8100.0,201606W2,P,120415.0,0.6,1.0
TXO,8100.0,201606W2,P,120415.0,0.6,1.0
TXO,8100.0,201606W2,P,120536.0,0.6,2.0
TXO,8100.0,201606W2,P,120536.0,0.6,1.0
TXO,8100.0,201606W2,P,120536.0,0.6,1.0
TXO,8100.0,201606W2,P,120551.0,0.6,1.0
TXO,8100.0,201606W2,P,120551.0,0.6,1.0
TXO,8100.0,201606W2,P,120750.0,0.7,1.0
TXO,8100.0,201606W2,P,120750.0,0.7,1.0
TXO,8100.0,201606W2,P,123541.0,0.6,11.0
TXO,8100.0,201606W2,P,123541.0,0.6,8.0
TXO,8100.0,201606W2,P,123541.0,0.6,3.0
TXO,8100.0,201606W2,P,123553.0,0.5,3.0
TXO,8100.0,201606W2,P,123553.0,0.5,1.0
TXO,8100.0,201606W2,P,123553.0,0.5,1.0
TXO,8100.0,201606W2,P,123553.0,0.5,1.0
TXO,8100.0,201606W2,P,131118.0,0.6,1.0
TXO,8100.0,201606W2,P,131118.0,0.6,1.0
TXO,8100.0,201606W2,P,131126.0,0.5,1.0
TXO,8100.0,201606W2,P,131126.0,0.5,1.0
TXO,8100.0,201606W2,P,131631.0,0.6,2.0
TXO,8100.0,201606W2,P,131631.0,0.6,2.0
TXO,8100.0,201606W2,P,133048.0,0.6,2.0
TXO,8100.0,201606W2,P,133048.0,0.6,2.0
TXO,8100.0,201606W2,P,133156.0,0.7,50.0
TXO,8100.0,201606W2,P,133156.0,0.7,1.0
TXO,8100.0,201606W2,P,133156.0,0.7,1.0
TXO,8100.0,201606W2,P,133156.0,0.7,5.0
TXO,8100.0,201606W2,P,133156.0,0.7,5.0
TXO,8100.0,201606W2,P,133156.0,0.7,5.0
TXO,8100.0,201606W2,P,133156.0,0.7,33.0
TXO,8100.0,201606W2,P,133601.0,0.6,56.0
TXO,8100.0,201606W2,P,133601.0,0.6,3.0
TXO,8100.0,201606W2,P,133601.0,0.6,3.0
TXO,8100.0,201606W2,P,133601.0,0.6,50.0
TXO,8100.0,201606W2,P,134020.0,0.5,1.0
TXO,8100.0,201606W2,P,134020.0,0.5,1.0
TXO,8100.0,201606W2,P,134113.0,0.6,1.0
TXO,8100.0,201606W2,P,134113.0,0.6,1.0
TXO,8100.0,201606W2,P,134113.0,0.6,1.0
TXO,8100.0,201606W2,P,134113.0,0.6,7.0
TXO,8100.0,201606W2,P,134113.0,0.6,10.0
TXO,8100.0,201606W2,P,134155.0,0.6,19.0
