商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,7500.0,201605W4,C,85134.0,313.0,1.0
TXO,7500.0,201605W4,C,85134.0,313.0,1.0
TXO,7500.0,201605W4,C,85648.0,570.0,1.0
TXO,7500.0,201605W4,C,85648.0,570.0,1.0
TXO,7500.0,201605W4,C,85833.0,575.0,1.0
TXO,7500.0,201605W4,C,85833.0,575.0,1.0
TXO,7500.0,201605W4,C,90614.0,560.0,1.0
TXO,7500.0,201605W4,C,90614.0,560.0,1.0
TXO,7500.0,201605W4,C,94301.0,590.0,5.0
TXO,7500.0,201605W4,C,94301.0,590.0,5.0
TXO,7500.0,201605W4,C,94545.0,580.0,5.0
TXO,7500.0,201605W4,C,94545.0,580.0,5.0
TXO,7500.0,201605W4,C,111046.0,620.0,1.0
TXO,7500.0,201605W4,C,111046.0,620.0,1.0
TXO,7500.0,201605W4,C,112707.0,610.0,20.0
TXO,7500.0,201605W4,C,112707.0,610.0,20.0
TXO,7500.0,201605W4,P,84620.0,2.0,1.0
TXO,7500.0,201605W4,P,84620.0,2.0,1.0
TXO,7500.0,201605W4,P,84923.0,2.3,1.0
TXO,7500.0,201605W4,P,84923.0,2.3,1.0
TXO,7500.0,201605W4,P,84956.0,2.3,1.0
TXO,7500.0,201605W4,P,84956.0,2.3,1.0
TXO,7500.0,201605W4,P,85004.0,2.3,2.0
TXO,7500.0,201605W4,P,85004.0,2.3,2.0
TXO,7500.0,201605W4,P,85013.0,2.3,1.0
TXO,7500.0,201605W4,P,85013.0,2.3,1.0
TXO,7500.0,201605W4,P,85024.0,2.3,1.0
TXO,7500.0,201605W4,P,85024.0,2.3,1.0
TXO,7500.0,201605W4,P,85134.0,2.1,1.0
TXO,7500.0,201605W4,P,85134.0,2.1,1.0
TXO,7500.0,201605W4,P,85157.0,2.1,1.0
TXO,7500.0,201605W4,P,85157.0,2.1,1.0
TXO,7500.0,201605W4,P,85200.0,2.2,1.0
TXO,7500.0,201605W4,P,85200.0,2.2,1.0
TXO,7500.0,201605W4,P,85256.0,2.2,1.0
TXO,7500.0,201605W4,P,85256.0,2.2,1.0
TXO,7500.0,201605W4,P,85442.0,2.1,2.0
TXO,7500.0,201605W4,P,85442.0,2.1,1.0
TXO,7500.0,201605W4,P,85442.0,2.1,1.0
TXO,7500.0,201605W4,P,85515.0,2.2,3.0
TXO,7500.0,201605W4,P,85515.0,2.2,1.0
TXO,7500.0,201605W4,P,85515.0,2.2,1.0
TXO,7500.0,201605W4,P,85515.0,2.2,1.0
TXO,7500.0,201605W4,P,85517.0,2.3,2.0
TXO,7500.0,201605W4,P,85517.0,2.3,1.0
TXO,7500.0,201605W4,P,85517.0,2.3,1.0
TXO,7500.0,201605W4,P,85547.0,2.3,1.0
TXO,7500.0,201605W4,P,85547.0,2.3,1.0
TXO,7500.0,201605W4,P,85559.0,2.3,1.0
TXO,7500.0,201605W4,P,85559.0,2.3,1.0
TXO,7500.0,201605W4,P,85618.0,2.4,10.0
TXO,7500.0,201605W4,P,85618.0,2.4,1.0
TXO,7500.0,201605W4,P,85618.0,2.4,9.0
TXO,7500.0,201605W4,P,85619.0,2.4,1.0
TXO,7500.0,201605W4,P,85619.0,2.4,1.0
TXO,7500.0,201605W4,P,85646.0,2.3,1.0
TXO,7500.0,201605W4,P,85646.0,2.3,1.0
TXO,7500.0,201605W4,P,85646.0,2.4,9.0
TXO,7500.0,201605W4,P,85646.0,2.4,9.0
TXO,7500.0,201605W4,P,85811.0,2.3,1.0
TXO,7500.0,201605W4,P,85811.0,2.3,1.0
TXO,7500.0,201605W4,P,85831.0,2.4,4.0
TXO,7500.0,201605W4,P,85831.0,2.4,1.0
TXO,7500.0,201605W4,P,85831.0,2.4,1.0
TXO,7500.0,201605W4,P,85831.0,2.4,1.0
TXO,7500.0,201605W4,P,85831.0,2.4,1.0
TXO,7500.0,201605W4,P,85931.0,2.4,2.0
TXO,7500.0,201605W4,P,85931.0,2.4,2.0
TXO,7500.0,201605W4,P,90001.0,2.4,5.0
TXO,7500.0,201605W4,P,90001.0,2.4,5.0
TXO,7500.0,201605W4,P,90033.0,2.4,1.0
TXO,7500.0,201605W4,P,90033.0,2.4,1.0
TXO,7500.0,201605W4,P,90248.0,2.4,1.0
TXO,7500.0,201605W4,P,90248.0,2.4,1.0
TXO,7500.0,201605W4,P,90406.0,2.5,20.0
TXO,7500.0,201605W4,P,90406.0,2.5,1.0
TXO,7500.0,201605W4,P,90406.0,2.5,19.0
TXO,7500.0,201605W4,P,90406.0,2.4,1.0
TXO,7500.0,201605W4,P,90406.0,2.4,1.0
TXO,7500.0,201605W4,P,90414.0,2.4,1.0
TXO,7500.0,201605W4,P,90414.0,2.4,1.0
TXO,7500.0,201605W4,P,90414.0,2.5,1.0
TXO,7500.0,201605W4,P,90414.0,2.5,1.0
TXO,7500.0,201605W4,P,90423.0,2.5,1.0
TXO,7500.0,201605W4,P,90423.0,2.5,1.0
TXO,7500.0,201605W4,P,90442.0,2.4,1.0
TXO,7500.0,201605W4,P,90442.0,2.4,1.0
TXO,7500.0,201605W4,P,90445.0,2.5,3.0
TXO,7500.0,201605W4,P,90445.0,2.5,3.0
TXO,7500.0,201605W4,P,90456.0,2.6,10.0
TXO,7500.0,201605W4,P,90456.0,2.6,1.0
TXO,7500.0,201605W4,P,90456.0,2.6,1.0
TXO,7500.0,201605W4,P,90456.0,2.6,8.0
TXO,7500.0,201605W4,P,90537.0,2.5,10.0
TXO,7500.0,201605W4,P,90537.0,2.5,5.0
TXO,7500.0,201605W4,P,90537.0,2.5,5.0
TXO,7500.0,201605W4,P,90608.0,2.7,2.0
TXO,7500.0,201605W4,P,90608.0,2.7,1.0
TXO,7500.0,201605W4,P,90608.0,2.7,1.0
TXO,7500.0,201605W4,P,90644.0,2.7,18.0
TXO,7500.0,201605W4,P,90644.0,2.7,8.0
TXO,7500.0,201605W4,P,90644.0,2.7,1.0
TXO,7500.0,201605W4,P,90644.0,2.7,8.0
TXO,7500.0,201605W4,P,90644.0,2.7,1.0
TXO,7500.0,201605W4,P,90726.0,2.8,18.0
TXO,7500.0,201605W4,P,90726.0,2.8,1.0
TXO,7500.0,201605W4,P,90726.0,2.8,1.0
TXO,7500.0,201605W4,P,90726.0,2.8,8.0
TXO,7500.0,201605W4,P,90726.0,2.8,8.0
TXO,7500.0,201605W4,P,90726.0,2.9,1.0
TXO,7500.0,201605W4,P,90726.0,2.9,1.0
TXO,7500.0,201605W4,P,90726.0,2.9,1.0
TXO,7500.0,201605W4,P,90726.0,2.9,1.0
TXO,7500.0,201605W4,P,90726.0,2.9,8.0
TXO,7500.0,201605W4,P,90726.0,2.9,8.0
TXO,7500.0,201605W4,P,90726.0,3.0,1.0
TXO,7500.0,201605W4,P,90726.0,2.9,20.0
TXO,7500.0,201605W4,P,90726.0,3.0,1.0
TXO,7500.0,201605W4,P,90726.0,3.0,60.0
TXO,7500.0,201605W4,P,90726.0,3.0,62.0
TXO,7500.0,201605W4,P,90818.0,3.0,1.0
TXO,7500.0,201605W4,P,90818.0,3.0,1.0
TXO,7500.0,201605W4,P,91022.0,3.1,1.0
TXO,7500.0,201605W4,P,91022.0,3.1,1.0
TXO,7500.0,201605W4,P,91152.0,3.2,5.0
TXO,7500.0,201605W4,P,91152.0,3.2,1.0
TXO,7500.0,201605W4,P,91152.0,3.2,4.0
TXO,7500.0,201605W4,P,91301.0,2.9,6.0
TXO,7500.0,201605W4,P,91301.0,2.9,1.0
TXO,7500.0,201605W4,P,91301.0,2.9,5.0
TXO,7500.0,201605W4,P,91437.0,3.1,1.0
TXO,7500.0,201605W4,P,91437.0,3.1,1.0
TXO,7500.0,201605W4,P,91522.0,3.1,2.0
TXO,7500.0,201605W4,P,91522.0,3.1,2.0
TXO,7500.0,201605W4,P,91711.0,3.1,3.0
TXO,7500.0,201605W4,P,91711.0,3.1,1.0
TXO,7500.0,201605W4,P,91711.0,3.1,2.0
TXO,7500.0,201605W4,P,91857.0,3.0,2.0
TXO,7500.0,201605W4,P,91857.0,3.0,1.0
TXO,7500.0,201605W4,P,91857.0,3.0,1.0
TXO,7500.0,201605W4,P,91916.0,2.9,2.0
TXO,7500.0,201605W4,P,91916.0,2.9,2.0
TXO,7500.0,201605W4,P,91934.0,2.8,1.0
TXO,7500.0,201605W4,P,91934.0,2.8,1.0
TXO,7500.0,201605W4,P,92018.0,2.8,8.0
TXO,7500.0,201605W4,P,92018.0,2.8,1.0
TXO,7500.0,201605W4,P,92018.0,2.8,1.0
TXO,7500.0,201605W4,P,92018.0,2.8,6.0
TXO,7500.0,201605W4,P,92029.0,2.9,2.0
TXO,7500.0,201605W4,P,92029.0,2.9,1.0
TXO,7500.0,201605W4,P,92029.0,2.9,1.0
TXO,7500.0,201605W4,P,92111.0,2.9,1.0
TXO,7500.0,201605W4,P,92111.0,2.9,1.0
TXO,7500.0,201605W4,P,92143.0,3.0,1.0
TXO,7500.0,201605W4,P,92143.0,3.0,1.0
TXO,7500.0,201605W4,P,92150.0,3.0,1.0
TXO,7500.0,201605W4,P,92150.0,3.0,1.0
TXO,7500.0,201605W4,P,92205.0,3.1,6.0
TXO,7500.0,201605W4,P,92205.0,3.1,3.0
