商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,8500.0,201609W4,C,114733.0,650.0,1.0
TXO,8500.0,201609W4,C,114733.0,650.0,1.0
TXO,8500.0,201609W4,P,84549.0,1.4,20.0
TXO,8500.0,201609W4,P,84549.0,1.4,20.0
TXO,8500.0,201609W4,P,84618.0,1.5,10.0
TXO,8500.0,201609W4,P,84618.0,1.5,10.0
TXO,8500.0,201609W4,P,84633.0,1.5,10.0
TXO,8500.0,201609W4,P,84633.0,1.5,10.0
TXO,8500.0,201609W4,P,84711.0,1.6,1.0
TXO,8500.0,201609W4,P,84711.0,1.6,1.0
TXO,8500.0,201609W4,P,84711.0,1.6,1.0
TXO,8500.0,201609W4,P,84711.0,1.6,1.0
TXO,8500.0,201609W4,P,84712.0,1.6,1.0
TXO,8500.0,201609W4,P,84712.0,1.6,1.0
TXO,8500.0,201609W4,P,84712.0,1.6,1.0
TXO,8500.0,201609W4,P,84712.0,1.6,1.0
TXO,8500.0,201609W4,P,84721.0,1.6,5.0
TXO,8500.0,201609W4,P,84721.0,1.6,1.0
TXO,8500.0,201609W4,P,84721.0,1.6,4.0
TXO,8500.0,201609W4,P,84721.0,1.6,1.0
TXO,8500.0,201609W4,P,84721.0,1.6,1.0
TXO,8500.0,201609W4,P,84736.0,1.7,6.0
TXO,8500.0,201609W4,P,84736.0,1.7,5.0
TXO,8500.0,201609W4,P,84736.0,1.7,1.0
TXO,8500.0,201609W4,P,84755.0,1.8,5.0
TXO,8500.0,201609W4,P,84755.0,1.8,5.0
TXO,8500.0,201609W4,P,84755.0,1.8,15.0
TXO,8500.0,201609W4,P,84755.0,1.8,15.0
TXO,8500.0,201609W4,P,84759.0,1.8,4.0
TXO,8500.0,201609W4,P,84759.0,1.8,4.0
TXO,8500.0,201609W4,P,84802.0,1.8,1.0
TXO,8500.0,201609W4,P,84802.0,1.8,1.0
TXO,8500.0,201609W4,P,84825.0,1.9,1.0
TXO,8500.0,201609W4,P,84825.0,1.9,1.0
TXO,8500.0,201609W4,P,84826.0,1.8,1.0
TXO,8500.0,201609W4,P,84826.0,1.8,1.0
TXO,8500.0,201609W4,P,84838.0,1.9,1.0
TXO,8500.0,201609W4,P,84838.0,1.9,1.0
TXO,8500.0,201609W4,P,84856.0,1.8,1.0
TXO,8500.0,201609W4,P,84856.0,1.8,1.0
TXO,8500.0,201609W4,P,84910.0,1.8,1.0
TXO,8500.0,201609W4,P,84910.0,1.8,1.0
TXO,8500.0,201609W4,P,84958.0,1.8,13.0
TXO,8500.0,201609W4,P,84958.0,1.8,8.0
TXO,8500.0,201609W4,P,84958.0,1.8,5.0
TXO,8500.0,201609W4,P,85232.0,1.5,5.0
TXO,8500.0,201609W4,P,85232.0,1.5,5.0
TXO,8500.0,201609W4,P,85308.0,1.6,6.0
TXO,8500.0,201609W4,P,85308.0,1.6,5.0
TXO,8500.0,201609W4,P,85308.0,1.6,1.0
TXO,8500.0,201609W4,P,85353.0,1.5,1.0
TXO,8500.0,201609W4,P,85353.0,1.5,1.0
TXO,8500.0,201609W4,P,85353.0,1.6,4.0
TXO,8500.0,201609W4,P,85353.0,1.6,1.0
TXO,8500.0,201609W4,P,85353.0,1.6,5.0
TXO,8500.0,201609W4,P,85418.0,1.4,5.0
TXO,8500.0,201609W4,P,85418.0,1.4,5.0
TXO,8500.0,201609W4,P,85418.0,1.5,3.0
TXO,8500.0,201609W4,P,85418.0,1.5,3.0
TXO,8500.0,201609W4,P,85520.0,1.4,20.0
TXO,8500.0,201609W4,P,85520.0,1.4,20.0
TXO,8500.0,201609W4,P,85559.0,1.4,1.0
TXO,8500.0,201609W4,P,85559.0,1.4,1.0
TXO,8500.0,201609W4,P,85623.0,1.5,1.0
TXO,8500.0,201609W4,P,85623.0,1.5,1.0
TXO,8500.0,201609W4,P,85637.0,1.5,6.0
TXO,8500.0,201609W4,P,85637.0,1.5,1.0
TXO,8500.0,201609W4,P,85637.0,1.5,5.0
TXO,8500.0,201609W4,P,85710.0,1.5,3.0
TXO,8500.0,201609W4,P,85710.0,1.5,1.0
TXO,8500.0,201609W4,P,85710.0,1.5,2.0
TXO,8500.0,201609W4,P,85746.0,1.4,1.0
TXO,8500.0,201609W4,P,85746.0,1.4,1.0
TXO,8500.0,201609W4,P,85756.0,1.5,10.0
TXO,8500.0,201609W4,P,85756.0,1.5,3.0
TXO,8500.0,201609W4,P,85756.0,1.5,7.0
TXO,8500.0,201609W4,P,85813.0,1.5,10.0
TXO,8500.0,201609W4,P,85813.0,1.5,4.0
TXO,8500.0,201609W4,P,85813.0,1.5,1.0
TXO,8500.0,201609W4,P,85813.0,1.5,5.0
TXO,8500.0,201609W4,P,85857.0,1.5,14.0
TXO,8500.0,201609W4,P,85857.0,1.5,5.0
TXO,8500.0,201609W4,P,85857.0,1.5,1.0
TXO,8500.0,201609W4,P,85857.0,1.5,5.0
TXO,8500.0,201609W4,P,85857.0,1.5,3.0
TXO,8500.0,201609W4,P,85959.0,1.5,1.0
TXO,8500.0,201609W4,P,85959.0,1.5,1.0
TXO,8500.0,201609W4,P,90006.0,1.5,3.0
TXO,8500.0,201609W4,P,90006.0,1.5,3.0
TXO,8500.0,201609W4,P,90010.0,1.5,1.0
TXO,8500.0,201609W4,P,90010.0,1.5,1.0
TXO,8500.0,201609W4,P,90014.0,1.5,1.0
TXO,8500.0,201609W4,P,90014.0,1.5,1.0
TXO,8500.0,201609W4,P,90032.0,1.5,1.0
TXO,8500.0,201609W4,P,90032.0,1.5,1.0
TXO,8500.0,201609W4,P,90044.0,1.5,1.0
TXO,8500.0,201609W4,P,90044.0,1.5,1.0
TXO,8500.0,201609W4,P,90047.0,1.5,1.0
TXO,8500.0,201609W4,P,90047.0,1.5,1.0
TXO,8500.0,201609W4,P,90053.0,1.5,1.0
TXO,8500.0,201609W4,P,90053.0,1.5,1.0
TXO,8500.0,201609W4,P,90100.0,1.5,1.0
TXO,8500.0,201609W4,P,90100.0,1.5,1.0
TXO,8500.0,201609W4,P,90128.0,1.5,4.0
TXO,8500.0,201609W4,P,90128.0,1.5,4.0
TXO,8500.0,201609W4,P,90138.0,1.5,6.0
TXO,8500.0,201609W4,P,90138.0,1.5,6.0
TXO,8500.0,201609W4,P,90149.0,1.5,10.0
TXO,8500.0,201609W4,P,90149.0,1.5,4.0
TXO,8500.0,201609W4,P,90149.0,1.5,5.0
TXO,8500.0,201609W4,P,90149.0,1.5,1.0
TXO,8500.0,201609W4,P,90151.0,1.5,1.0
