商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,8400.0,201611W5,P,100916.0,0.3,1.0
TXO,8400.0,201611W5,P,100916.0,0.3,1.0
TXO,8400.0,201611W5,P,121333.0,0.3,1.0
TXO,8400.0,201611W5,P,121333.0,0.3,1.0
TXO,8400.0,201611W5,P,130708.0,0.2,1.0
TXO,8400.0,201611W5,P,130708.0,0.2,1.0
TXO,8400.0,201611W5,P,132311.0,0.2,30.0
TXO,8400.0,201611W5,P,132311.0,0.2,28.0
TXO,8400.0,201611W5,P,132311.0,0.2,2.0
TXO,8500.0,201611W5,P,94408.0,0.3,1.0
TXO,8500.0,201611W5,P,94408.0,0.3,1.0
TXO,8500.0,201611W5,P,132755.0,0.3,5.0
TXO,8500.0,201611W5,P,132755.0,0.3,5.0
TXO,8600.0,201611W5,P,90425.0,0.5,1.0
TXO,8600.0,201611W5,P,90425.0,0.5,1.0
TXO,8600.0,201611W5,P,90538.0,0.5,100.0
TXO,8600.0,201611W5,P,90538.0,0.5,100.0
TXO,8600.0,201611W5,P,91215.0,0.5,1.0
TXO,8600.0,201611W5,P,91215.0,0.5,1.0
TXO,8600.0,201611W5,P,112527.0,0.5,5.0
TXO,8600.0,201611W5,P,112527.0,0.5,5.0
TXO,8600.0,201611W5,P,114923.0,0.4,5.0
TXO,8600.0,201611W5,P,114923.0,0.4,5.0
TXO,8600.0,201611W5,P,115749.0,0.4,8.0
TXO,8600.0,201611W5,P,115749.0,0.4,8.0
TXO,8600.0,201611W5,P,131359.0,0.3,1.0
TXO,8600.0,201611W5,P,131359.0,0.3,1.0
TXO,8600.0,201611W5,P,134442.0,0.3,2.0
TXO,8600.0,201611W5,P,134442.0,0.3,2.0
TXO,8700.0,201611W5,P,90832.0,0.6,19.0
TXO,8700.0,201611W5,P,90832.0,0.6,19.0
TXO,8700.0,201611W5,P,90850.0,0.6,5.0
TXO,8700.0,201611W5,P,90850.0,0.6,5.0
TXO,8700.0,201611W5,P,91302.0,0.6,1.0
TXO,8700.0,201611W5,P,91302.0,0.6,1.0
TXO,8700.0,201611W5,P,91303.0,0.6,1.0
TXO,8700.0,201611W5,P,91303.0,0.6,1.0
TXO,8700.0,201611W5,P,94752.0,0.6,3.0
TXO,8700.0,201611W5,P,94752.0,0.6,3.0
TXO,8700.0,201611W5,P,95219.0,0.7,200.0
TXO,8700.0,201611W5,P,95219.0,0.7,1.0
TXO,8700.0,201611W5,P,95219.0,0.7,10.0
TXO,8700.0,201611W5,P,95219.0,0.7,30.0
TXO,8700.0,201611W5,P,95219.0,0.7,20.0
TXO,8700.0,201611W5,P,95219.0,0.7,30.0
TXO,8700.0,201611W5,P,95219.0,0.7,10.0
TXO,8700.0,201611W5,P,95219.0,0.7,10.0
TXO,8700.0,201611W5,P,95219.0,0.7,89.0
TXO,8700.0,201611W5,P,100158.0,0.6,5.0
TXO,8700.0,201611W5,P,100158.0,0.6,5.0
TXO,8700.0,201611W5,P,101427.0,0.6,15.0
TXO,8700.0,201611W5,P,101427.0,0.6,15.0
TXO,8700.0,201611W5,P,101556.0,0.6,10.0
TXO,8700.0,201611W5,P,101556.0,0.6,10.0
TXO,8700.0,201611W5,P,112530.0,0.5,50.0
TXO,8700.0,201611W5,P,112530.0,0.5,50.0
TXO,8700.0,201611W5,P,112531.0,0.5,50.0
TXO,8700.0,201611W5,P,112531.0,0.5,50.0
TXO,8700.0,201611W5,P,112821.0,0.5,100.0
TXO,8700.0,201611W5,P,112821.0,0.5,100.0
TXO,8700.0,201611W5,P,130831.0,0.5,1.0
TXO,8700.0,201611W5,P,130831.0,0.5,1.0
TXO,8700.0,201611W5,P,131328.0,0.5,1.0
TXO,8700.0,201611W5,P,131328.0,0.5,1.0
TXO,8800.0,201611W5,C,91302.0,362.0,1.0
TXO,8800.0,201611W5,C,91302.0,362.0,1.0
TXO,8800.0,201611W5,C,91303.0,362.0,1.0
TXO,8800.0,201611W5,C,91303.0,362.0,1.0
TXO,8800.0,201611W5,C,91906.0,376.0,1.0
TXO,8800.0,201611W5,C,91906.0,376.0,1.0
TXO,8800.0,201611W5,P,84530.0,0.9,13.0
TXO,8800.0,201611W5,P,84530.0,0.9,3.0
TXO,8800.0,201611W5,P,84530.0,0.9,10.0
TXO,8800.0,201611W5,P,84542.0,0.9,7.0
TXO,8800.0,201611W5,P,84542.0,0.9,7.0
TXO,8800.0,201611W5,P,84543.0,0.9,7.0
TXO,8800.0,201611W5,P,84543.0,0.9,7.0
TXO,8800.0,201611W5,P,84549.0,0.9,3.0
TXO,8800.0,201611W5,P,84549.0,0.9,3.0
TXO,8800.0,201611W5,P,84550.0,0.9,3.0
TXO,8800.0,201611W5,P,84550.0,0.9,3.0
TXO,8800.0,201611W5,P,84552.0,0.9,4.0
TXO,8800.0,201611W5,P,84552.0,0.9,4.0
TXO,8800.0,201611W5,P,84552.0,0.9,4.0
TXO,8800.0,201611W5,P,84552.0,0.9,4.0
TXO,8800.0,201611W5,P,84554.0,0.9,4.0
TXO,8800.0,201611W5,P,84554.0,0.9,4.0
TXO,8800.0,201611W5,P,84554.0,0.9,4.0
TXO,8800.0,201611W5,P,84554.0,0.9,4.0
TXO,8800.0,201611W5,P,84615.0,0.9,3.0
TXO,8800.0,201611W5,P,84615.0,0.9,3.0
TXO,8800.0,201611W5,P,84618.0,0.9,9.0
TXO,8800.0,201611W5,P,84618.0,0.9,9.0
TXO,8800.0,201611W5,P,84624.0,0.9,7.0
TXO,8800.0,201611W5,P,84624.0,0.9,7.0
TXO,8800.0,201611W5,P,84624.0,0.9,7.0
TXO,8800.0,201611W5,P,84624.0,0.9,7.0
TXO,8800.0,201611W5,P,84627.0,0.9,8.0
TXO,8800.0,201611W5,P,84627.0,0.9,8.0
TXO,8800.0,201611W5,P,84707.0,1.0,5.0
TXO,8800.0,201611W5,P,84707.0,1.0,5.0
TXO,8800.0,201611W5,P,84853.0,1.0,15.0
TXO,8800.0,201611W5,P,84853.0,1.0,15.0
TXO,8800.0,201611W5,P,84954.0,1.0,8.0
TXO,8800.0,201611W5,P,84954.0,1.0,8.0
TXO,8800.0,201611W5,P,85009.0,1.0,12.0
TXO,8800.0,201611W5,P,85009.0,1.0,12.0
TXO,8800.0,201611W5,P,85019.0,1.0,2.0
TXO,8800.0,201611W5,P,85019.0,1.0,2.0
TXO,8800.0,201611W5,P,85113.0,1.0,18.0
TXO,8800.0,201611W5,P,85113.0,1.0,18.0
TXO,8800.0,201611W5,P,85300.0,1.0,2.0
TXO,8800.0,201611W5,P,85300.0,1.0,2.0
TXO,8800.0,201611W5,P,85602.0,1.0,2.0
TXO,8800.0,201611W5,P,85602.0,1.0,2.0
TXO,8800.0,201611W5,P,85629.0,1.0,18.0
TXO,8800.0,201611W5,P,85629.0,1.0,18.0
TXO,8800.0,201611W5,P,90140.0,1.0,5.0
TXO,8800.0,201611W5,P,90140.0,1.0,5.0
TXO,8800.0,201611W5,P,90443.0,1.0,1.0
TXO,8800.0,201611W5,P,90443.0,1.0,1.0
TXO,8800.0,201611W5,P,90803.0,1.0,2.0
TXO,8800.0,201611W5,P,90803.0,1.0,2.0
TXO,8800.0,201611W5,P,91104.0,0.9,1.0
TXO,8800.0,201611W5,P,91104.0,0.9,1.0
